bias,cutoff,algorithm,tp,tn,fp,fn,precision,recall,fscore
0.0,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.0,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.0,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.0,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.0,0.4,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.0,0.5,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.0,0.6000000000000001,jaccard,186,667,11,38,0.9441624365482234,0.8303571428571429,0.8836104513064132
0.0,0.7000000000000001,jaccard,182,682,0,42,1.0,0.8125,0.896551724137931
0.0,0.8,jaccard,182,682,0,42,1.0,0.8125,0.896551724137931
0.0,0.9,jaccard,180,684,0,44,1.0,0.8035714285714286,0.8910891089108911
0.0,1.0,jaccard,178,686,0,46,1.0,0.7946428571428571,0.8855721393034826
0.1,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.1,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.1,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.1,0.30000000000000004,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.1,0.4,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.1,0.5,jaccard,206,639,19,18,0.9155555555555556,0.9196428571428571,0.9175946547884187
0.1,0.6000000000000001,jaccard,190,663,11,34,0.945273631840796,0.8482142857142857,0.8941176470588235
0.1,0.7000000000000001,jaccard,182,682,0,42,1.0,0.8125,0.896551724137931
0.1,0.8,jaccard,182,682,0,42,1.0,0.8125,0.896551724137931
0.1,0.9,jaccard,180,684,0,44,1.0,0.8035714285714286,0.8910891089108911
0.1,1.0,jaccard,178,686,0,46,1.0,0.7946428571428571,0.8855721393034826
0.2,0.0,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.2,0.1,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
0.2,0.2,jaccard,208,637,19,16,0.9162995594713657,0.9285714285714286,0.9223946784922396
